lon,lat,h,pd
-7.942559724034,2.8726717584214,18.09452,2.434278
-7.94474658365398,2.89452579947024,18.20509,2.434289
-7.94668842504273,2.91392653605739,18.09094,2.434297
-7.94860658902073,2.93309444681438,17.62777,2.434304
-7.95058141446578,2.95280987664053,18.19144,2.43431
-7.95240056263114,2.97098677125334,17.32315,2.434315
-7.9542036665802,2.98900026760981,18.06186,2.434319
-7.95601212192746,3.00705435494509,18.24699,2.434322
-7.95782140784045,3.02514432087067,18.45582,2.434323
-7.95962950203534,3.04320177092536,18.42307,2.434324
-7.9614351611763,3.06122997948933,18.0017,2.434324
-7.9638160420894,3.08503758671674,18.46577,2.434322
-7.96562198825731,3.1030877280683,18.70644,2.43432
-7.96741827047825,3.12105494892577,19.38803,2.434317
-7.97015725611937,3.1484458045352,18.96852,2.434312
-7.97314774365138,3.17832397496377,18.9495,2.434304
-7.97500839118956,3.19692136141943,18.82654,2.434299
-7.97691978343678,3.21604173576976,18.95363,2.434294
-7.97877885245731,3.23462791808323,19.2051,2.434288
-7.9805863358205,3.25268888134829,18.99339,2.434283
-7.98238759998201,3.27071394775401,19.65256,2.434277
-7.98419319377734,3.28878346144899,19.33686,2.434271
-7.98611365039963,3.30799582730199,18.99753,2.434266
-7.98805085969734,3.32735277851769,19.62422,2.43426
-7.99054348975799,3.35224703510813,19.54377,2.434253
-7.99234522167219,3.37031561361473,19.30675,2.434248
-7.99537684673269,3.4006255554786,19.78604,2.434242
-7.99717805289559,3.41867144661105,19.93719,2.434239
-8.00101408625136,3.45701377359093,19.93402,2.434234
-8.00382319268336,3.48510888279963,20.19632,2.434233
-8.00562637533288,3.50313566400177,20.25834,2.434234
-8.00744957207597,3.52136359479676,20.39474,2.434235
-8.00966436474754,3.54349072846824,20.64641,2.434238
-8.01235425688024,3.57040570135345,20.5118,2.434242
-8.0141599335713,3.58846306558123,20.30669,2.434245
-8.01751684658675,3.62202344925186,20.98892,2.434253
-8.01931739186876,3.64003352358785,21.09059,2.434257
-8.02114778888844,3.65830670751048,20.88807,2.434262
-8.02318683229596,3.67870739876759,20.78048,2.434268
-8.02498471519807,3.6967134880552,21.22379,2.434274
-8.02701389366857,3.71697294932927,21.20134,2.434281
-8.02924951140485,3.73932476603578,21.51867,2.434289
-8.03105356442668,3.75736642259618,21.4982,2.434295
-8.03286372618636,3.77542882018541,21.48198,2.434302
-8.03480671413464,3.79485860723863,20.73173,2.434309
-8.03661290113552,3.81294372980837,21.35492,2.434316
-8.03904852207984,3.8372571156235,21.81764,2.434325
-8.04087835058835,3.85552253272132,22.09837,2.434332
-8.04275209950825,3.87426953536423,22.13008,2.43434
-8.0472476054045,3.91920791903278,22.25401,2.434356
-8.04907412165307,3.93743784848682,22.7179,2.434363
-8.0519567714188,3.96626988117247,23.61733,2.434373
-8.05400348005491,3.98669383494635,22.97215,2.434379
-8.05580819894536,4.00474424796708,22.8003,2.434385
-8.05763114653467,4.02294429912126,23.41982,2.43439
-8.06367941780949,4.0833829310766,23.97885,2.434404
-8.06548322527086,4.10144912891073,23.69482,2.434407
-8.0673271983369,4.11986260112016,23.72975,2.43441
